Datetime,username,tweets
2021-06-07,Prem_111093,@andamantvlive @laurels4sanjib ILI Patients needs to tested... instead they are asked to stay in home quarantine without testing...
2021-06-07,DPULZEcyberjaya,ð’Ÿð’¶ð“Šð“ð’¶ð“‰ð’¯ð“Šð’¶ð“ƒð“€ð“Š Heartfelt birthday wishes to Yang di-Pertuan Agong Sultan Muhammad XVI. We wishes everyone a happy holiday &amp; stay safe at home. #DaulatTuanku #YangdiPertuanAgong https://t.co/b9YspJTcCM
2021-06-07,nefeyjay,"this should b the plan since day one. not, delay-deli the vaccination. since the numbers are very high, and since we hv been in â€œlockdownâ€ since mar last year, i think asking the rakyat to stay home some more, is not the ideal way to tackle ths prob. https://t.co/mq6kvw5n4v"
2021-06-07,fathyaaaaf,sometimes i just wish i've never stay at home :/
2021-06-07,portluxe,Keep Calm Stay Home Flatten The Curve. We can do this ðŸ’ªðŸ»ðŸ’ªðŸ»ðŸ’ªðŸ» #ecofashion #sustainablefashion #ecofriendly #ethicalfashion #fashion #sustainable #sustainability #consciousfashion #fashionrevolution #sustainableliving #fairfashion #vintage #secondhand #zerowaste https://t.co/A2qpYReIOX
2021-06-07,RedR055,Stay homeStay safeAndBerak Fast. ðŸ˜ https://t.co/Bqmi5P93Aw
2021-06-07,DesmondTanKM,"#StaySafeAtHome Be patience and be happy during our 2nd week of FMCO. We care for your safety, so stay at home #asiapacificnet https://t.co/qHqVSgIUGJ"
2021-06-07,DanielTube1977,"2021 Fully Lockdown And Stay At Home Relaxing Music, Restful And Calm Mu... https://t.co/WkBJkylri9 via @YouTube"
2021-06-07,intewig,"Yes itâ€™s very wet and thereâ€™s water sloshing everywhere and ooh guess what, it smells like fish! Donâ€™t like it? Stay home and eat your mash and peas. Iâ€™ll continue slurping my fish soup ðŸ²ðŸ˜Ž"
2021-06-07,OurTampinesHub,"[STAY HOME, STAY FIT!] Come stay off the couch and keep fit with a series of all new virtual sports programmes lined up for everyone via ZOOM login! Join us live at https://t.co/HmZW0jWPNx for Ball Handling Workout today, 7 June 2021 from 5pm to 6pm! https://t.co/hqOOb6Ch1a"
2021-06-07,AmaruddinKhalid,"Stay home, stay safe! We can do this! #StayHomeStaySafe https://t.co/WuxXBG2SoM"
2021-06-07,sapphiresplenda,"Wow Iâ€™m so proud of myself. I spent HOURS looking at the website putting stuff to my cart, and just leaving because honestly Iâ€™m not even sure where the hell am I going with those outfits and earrings and rings? To stay at home? Nah."
2021-06-07,LibertyGolfMY,@LowElsielow Stay safe and may God grant you both protection. Try to stay home after jab as immunity would be low
2021-06-07,rickyliow,Good Morning! Happy &amp; Safe Stay-at-home. https://t.co/OxXUGnexWx
2021-06-07,TimeOutSG,"Stay home, stay safe and stay in love. #singapore  https://t.co/W5o2JDUYXC"
2021-06-07,llolipopccandy,Please read this! You know how hard to hold drink for more than 12 hours after dehydrate?? Please stay at home if you donâ€™t really have serious business to do. Help them to break the chain covid-19. https://t.co/LnUefZaBhH
2021-06-07,whositi_,Semua diminta stay at home but my company just keep working sampai abg Jamil hidup semula ðŸ¦ 
2021-06-07,plastic5surgery,"During our stay in Covid-19, we must keep good health, lower than the invasion of viruses, and defend my customers and our home! https://t.co/cCzYV7AglG"
2021-06-07,Hoi_Cheong_Chan,"@dakserap @shagrasyiid @yours_heidi Well, if stock habis, then let it be. For instance, I donâ€™t think there will be a rush for super glue. Let the market forces determine. Stop babysitting everybody by having this level of controlling. You want people to stay at home is fine but donâ€™t make our life harder"
2021-06-07,aireisu1,ãŠã¯ã‚ˆã†ã€‚9æ™‚é–“çˆ†ç¡ã—ã¾ã—ãŸã€‚ðŸ˜´ä¼‘æ—¥ã€‚stay home desu.
2021-06-07,kina_yoo,"Good morning to 28.2M uwu ok stay at home, work from home bebes, get yo pretty self up and STR34M~ https://t.co/YtjTwL69EI https://t.co/uUP5kHP4bi"
2021-06-06,FrunchieA,Assalamualaikum..Morninggg sunshine &amp; beautiful people ! ðŸ¤—ðŸ˜šðŸŒ¤ Happy working from home ðŸ‘©â€ðŸ’» &amp; semoga usaha apapun menemui hasil yg baik..ðŸ˜‡ Ingat tiada usaha yg sesia melainkan ianya menjadi guru terbaik kepada hidup kita..ðŸ˜ŽðŸ¥°ðŸŒ¹ðŸŒ·ðŸŒ¸ðŸŒºðŸŒ¼ðŸŒ»ðŸ’ Stay safe everyone ! ðŸ˜·ðŸ˜˜â¤ https://t.co/jiW8tnk3yf
2021-06-06,Adrianariz_,I just wanna stay at home nd doing nothing. Tp malangnya sampai tua aku kene kerja utk survive hmm
2021-06-06,ST_LifeTweets,"Stay-home guide for Monday: Listen to music by Singaporean female artistes, order some nonya bentos and more https://t.co/DdZTkxJkN8"
2021-06-06,dyalanji,Stay At Home situation is not same for everyone ðŸ¤— https://t.co/PmbsBrgQM6
2021-06-06,elsapphira,@AnimalsWorId @iamnotnandini youâ€™re supposed to stay at home
2021-06-06,hasbeemasputra,"@thechrisbarron Thanks. The stay helped stabilise me, new cocktail of meds work very well. Just having issues readjusting to being back home. The political situation here is a massive stressor as well."
2021-06-06,hasbeemasputra,"@TeamYouTube Hey thanks. I'm just dealing with anxiety with being back home after a short stay in the psych ward, but this is great client support."
2021-06-06,chaoticlyd,Stay at home has been Hadri's lifetime practice. He doesnt even miss going out.
2021-06-06,tengkusyahaha,"Exactly my thoughts too, lost teenage years due to trauma and emotional abuse and when I reach my twenties I'm forced to stay at home?? Wasting my youth again?? https://t.co/zc26EjR7Zy"
2021-06-06,lebritneeeey,1/4 of counselling course starts tomorrow which means it's stay home learning! at least no need to go to office :)
2021-06-06,artiearty,Rashford anonymous. He should stay home and just recuperate. Canâ€™t even influence a game.
2021-06-06,mochigardens,"Being at home makes me lose weight becuz i cant eat what i want but whenvever i stay at campus, my stomach becomes a blackhole that can never be satisfied &gt;:)"
2021-06-06,napyyyyy,@frhansem Stay at home la brader
2021-06-06,faaairyylee,Ada someone dm tanya â€œstay manaâ€ aku reply la â€œstay at homeâ€ dia seen terus ye
2021-06-06,mileeratna,"This is too real. Please do your part, and stay at home. https://t.co/rg3uSkVksH"
2021-06-06,softcrocodile,@pudynzayn Theres people like Person A who isnt vaxxed that works outside and go to clubs etc but doesnt get covid. Then theres people like Person B yg stay at home kaw2 but when out once caught them. Its always better to not being selfish cuz Person A can spread to others
2021-06-06,omg_jannah,@bernamadotcom @DGHisham @KKMPutrajaya What can we do? Ppl dont listen and stay at home.
2021-06-06,farizruslan,@hanniefsyahiran Sedih nep. Kita lawan virus yang tak nampak. So kau next time jgn merayau2. Stay at home #stayathome
2021-06-06,MairaHaniffa,@ShafiqahNadirah Yes date dalam rumah. Stay at home ðŸ˜›
2021-06-06,ffelss,when is YOU gg to release the next season Please help me stay at home happily
2021-06-06,RohanBeg,I reckon that's part of why all those doomsday-preppers and right-wing militias in the US raged against masks and lockdowns. Covid-19 wasn't the apocalypse they were promised. It was 'Stay Home and Be Safe'. Not the Purge nor Mad Max.
2021-06-06,sunwaykayangan,"PDRM dah gariskan di sini dengan JELAS. Jangan cari Alasan. Jangan Degil dan Jangan Merepek. Patuh SOP.  Stay Safe, Stay at Home ans Stay Calm https://t.co/jLMUTBPoJ4"
2021-06-06,keyleyza,Aku sebenarnya menanti2 tweet review citer apa best kat Netflix.. Paedahh sikit!! Dapat la aku meneruskan seruan kerajaan utk stay at home!!
2021-06-06,Abdiasissaleban,"@MohamoudGaildon @NBerlangaEU @US2SOMALIA @amisomsomalia @UNSomalia @UKinSomalia @GermanyinSOM @NorwayInSomalia ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ To those known as the donors of the so called failed &amp; care taking state of Villa Somalia, please quote his writtings. He stay in the US while his home town didn't posess even a single jail whilst, he is blaming us. Day dreaming scenario"
2021-06-06,KamilRuslan_,"@farisyapotato Setuju, kita faham untuk stay at home, tapi bukannya kita suka-suka nak keluar rumah &amp; berjalan sana-sini dekat dalam kedai. Sudah semestinya kita ada benda yang nak dibeli. Benda ni seolah-olah menidakkan hak rakyat untuk membeli barangan.. SOP baru ni memang kelam kabut."
2021-06-06,ideal_amir,"@Khairykj @JKJAVMY InsyaAllah, moga semua urusan dipermudahkan dan Allah s.w.t  mengangkat musibah Pandemik Covid 19 ini dari semua rakyat Malaysia dan dunia umumnya. Stay Home and Stay Safe."
2021-06-06,hopefulhani,"Dah 3 hari dah tok takde. Tokwan is still fighting wlaupun dia sgt down coz he's alone there and his soulmate had left him. Even his children pun tak dapat nak pujuk dia to open his eyes yesterday.. wan, please stay strong. U said, u want to go home kan.. doc nk bg tau wan blik"
2021-06-06,ideal_amir,"@HishammuddinH2O @KKMPutrajaya @MalaysiaMFA InsyaAllah, moga semua urusan dipermudahkan dan Allah s.w.t  mengangkat musibah Pandemik Covid 19 ini dari DS @HishammuddinH2O dan semua rakyat Malaysia dan dunia umumnya. Stay Home and Stay Safe."
2021-06-06,ideal_amir,"@DGHisham InsyaAllah, Stay Home &amp; Stay Safe. Let's us act &amp; pray for the best to overcome this pandemic."
2021-06-06,NissaKerr,Nak beli seluar tpi bila fikir hmmm nak pergi mana ? ðŸ˜ª skrg semua stay at home
2021-06-06,ehhmirrr,"Tak perlu drive, just stay home stay tonton, tonton #RADHE Hanya RM15 untuk langgan cerita #RADHE Buka playstore or appstore download Tonton dah boleh layan âœŒï¸ https://t.co/lmUeWYnrX7 #RADHE #tontoncinemaRadhe https://t.co/7nMoyVOmr1"
2021-06-06,kimfatimahjr,"Lately, i feels detached with ig. I found that i don't have anything important to share with others. Maybe stay at home for so so long turned me into this."
2021-06-06,nabilahh_hamzah,"Orang dah makin meluat Rakyat biasa suruh ""stay at home"" Konon ""total lockdown"" Tapi geng kayangan keluar sana sini Alasan meeting..puih Dia ingat rakyat nih goblok macam dia gamaknya"
2021-06-06,nl1ysa,Stay at home but make it âœ¨fashunâœ¨ ðŸ¤¡ https://t.co/YGUl7w7CzB
2021-06-06,NST_Online,#NSTnation The Education Ministry must immediately put in place measures to boost the effectiveness of home-based teaching and learning #PdPR given that it is here to stay amid the #Covid19 pandemic. https://t.co/jAxHfhk1mQ
2021-06-06,yatiesyemida,Kenapa degil wahai sekelian umat muhammad sawðŸ˜¢kata sayang &amp; nak masuk syurga tapi perintah kerajaan ketika wabak kamu tak nak ikuti ðŸ˜“nak stay at home sampai 2002 ke???ðŸ˜¢ https://t.co/h7n7yaudUw
2021-06-06,Owen2587526569,"@malaysiakini If the leaders also behaving like that, how can Govt persuades Rakyat to JUST STAY AT HOME."
2021-06-06,elorayen,"@jokerasya @cherylfernando True. The other residents will start to argue, oh yesterday you allowed her why now cannot? Poor all the securities most of them are foreigner, not able to explain carefully. Nowadays kids cases risen up, most of them no clue where they getting that from. Better stay at home ðŸ¤·ðŸ»â€â™€ï¸"
2021-06-06,nvrshamimi,pls stay at home. jangan keluar kalau takde kepentingan. pls pls pls.
2021-06-06,hydesign_my,@cherylfernando is it really that hard to stay inside home for 2 weeks?
2021-06-06,SafetywareSB,"You may wonder why the government always asked us to STAY AT HOME. It is actually for our own good. So, let's summarize the few reasons for keeping us safe at home. #stayathome #staysafe #socialdistancing #covid19 #didyouknow https://t.co/TwkdVL31HD"
2021-06-06,s_sabrinaaazul,"Gd evening everyone! How's your weekend? Stay home &amp; safe. Jangan lupa sentiasa sanitasi okay &amp; jaga sop Okay. Today i cuma nak share dengan korang apa kebaikan &amp; kelebihan heads. And not to forget, korang blh dapatkan heads from me. Anything can dm i âœ¨ https://t.co/msCbFV6ZaO"
2021-06-06,AvisMalaysia,"Let's stay at home and watch ""Let's Go Local With Avis - Part 9"" : #Throwback Road trip to Penang &amp; Kedah. Thank you Cik Marhanie for sharing this wonderful roadtrip. Stay home and stay safe everyone! Full version, click here: https://t.co/47iihk1KGL"
2021-06-06,AriAiren,"@LagaCawan @AishFareez Hye semua! AlangÂ² kene stay at home ni apa kata kita join Online Mandarin Class. Boleh senang communicate dengan chinese client/boss/patient,demand gaji atau secure current jobðŸ˜‰ Berminat boleh picit link dibawahâ˜ºï¸ https://t.co/MNNBnfeyYo https://t.co/28DhR4UckK"
2021-06-06,AriAiren,"@_FarahFauzi Hye semua! AlangÂ² kene stay at home ni apa kata kita join Online Mandarin Class. Boleh senang communicate dengan chinese client/boss/patient,demand gaji atau secure current jobðŸ˜‰ Berminat boleh picit link dibawahâ˜ºï¸ https://t.co/MNNBnfeyYo https://t.co/am6aiyZrP5"
2021-06-06,MhdKhalil87,@Idgafidiard @redzuanNewsMPB Den stay at home je poek..kita jaga kita
2021-06-06,kedaisuza,Time to stay at home &amp; decorate our rooms ðŸŒ¸ Preorder these beautiful tapestries on our website now &amp; get a free magnet tanda cinta. See you there! ðŸ‘‡ðŸ¾ https://t.co/NJ08C7YZRE https://t.co/TgGQjkS4Ge
2021-06-06,ChitsBank,"@robirdie777 The idea that ""carbon"" is a pollutant that needs to be taxed is so asinine. We're ""carbon based"" life, get it? These taxes will just go to John Kerry and other globalists via Club of Rome. They fly private jets everywhere, while we all stay home. Hypocrisy? Yup. Plant some trees."
2021-06-06,azrinamar,"Serious talk. This total lockdown you are supposed to fucking stay at home, not going out with your friends drive-thru McD and others. It defeats the purpose innit?"
2021-06-06,smhaniff,@ADTiqofficial Stay at homeðŸ˜®â€ðŸ’¨ðŸ˜®â€ðŸ’¨
2021-06-06,GLachmandas,Itâ€™s DONE !!!! What a relief ! Now letâ€™s stay at home &amp; relax - a bit hard for me as Iâ€™m used to always being active . Gonna really try to just rest my body #vaccine #astrazeneca #vibrantlivingwithgeeta https://t.co/0vyXmKe00H
2021-06-06,afifrsli,"Stay at home guys, kecuali kalau mak suruh gi beli pasir kucing https://t.co/9pxpXPKC2t"
2021-06-06,NabilShahab7,@SupremeLeader__ No bro he only looks like me. Aku good boy stay at home je.
2021-06-06,eedo_zee,"Umar Ibn AlKhatab (ra) said: ""A man will exit his house and upon him are sins like the weight of mountains of Tihamah, when he listens to knowledge he quickly gets scared, steps back and repents. He sinlessly returns to his home. So do not stay away from circles of the scholars"
2021-06-06,LimKuangZheng,"Glad that she didn't resign. Otherwise, stay at home all day long will makes her decadent."
2021-06-06,nraliah1,Day 6 stay at home :)
2021-06-06,ithahayley,"My Post Vaccine Effect Drink Loads Of Water To Stay Hydrated. Stay Positive. Be Happy. Stay Home &amp; Stay Safe. #Vaccine #CucukMyAZ #KitaJagaKita #PostVaccineEffect @ Kuala Lumpur, Malaysia https://t.co/0VhWXdRZsl"
2021-06-06,AinaSufian_,Gov: stay at home. Me at home: https://t.co/010Mw5w7x9
2021-06-06,kyungie_lee,Plan to go out for a drive today but the weather is telling me to stay at home and here i am tweeting about it ðŸ¤£
2021-06-06,WayneGKline,"First day out since May 15, when we went into 4 weeks Stay at Home. Quick visit to Challenger, followed by a drive by to Employees Only to pick up dinner. The uniquely to EO Chicken Soup. #1 Burger in Singapore. A great Espresso Martini. Thank you EO team! @EmployeesOnlySG https://t.co/bZmU0Z9T4r"
2021-06-06,_rodahidup,"@YonnaLeesa @masnitasha @ellfmrzsmn Joel tested positive on 21/5 and told to stay home along with 7 others including my son in the same house, @KKMPutrajaya supposed to  ferry him to Quarantine CTR w/in 48hrs. He waited few more days until the sixth day. He had no choice &amp; drove to nearest CAC despite being sick. https://t.co/m6zV2YHdoG"
2021-06-06,NinaAbdulRahman,Yey! Now we can! Stay home and stay safe geng! Tak bosan dah sebab boleh tengok macam macam movie gempak! Ehh boleh tengok Elsa! Jom aktif kan akaun korang kat sini untuk strim Disney+ Hotstar âœŒðŸ¼ðŸ˜https://t.co/V1K1rGnAqa @astroonline @DisneyPlusMY #NowYouCan #DisneyPlusHotstarMY https://t.co/vJnft6TR4t
2021-06-06,nraliahntsy,"@NadhirNasar yg bekerja teruskan bekerja, yg stay at home teruskan stay at home sampai abg jamil mampOs ðŸ˜”"
2021-06-06,alyamanies,Jarang2 ye tv dgn kipas dkt rumah nie 24jam bkk. Air cond stgh hari pasang. Stay at home kennnsss.
2021-06-06,xdhxmxndxxyx,"@syaz_bay Alaa.. Manada langgar SOP, I nak kena jugak keep handsome and fabulous walaupun stay at home..."
2021-06-06,vlyiani_jagarai,"Sama2 gi swab test. Last2 nya yg pake gelang emas hihi. Anyway,stay home ye salauðŸ˜˜tusah mai meda tgn si kopi susu tokðŸ˜‚ðŸ˜‚ https://t.co/ZcnVhDpGFm"
2021-06-06,thevibesnews,"JUST IN Shoppers no longer have to abide by the two-hour limit, said Domestic Trade and Consumer Affairs Ministry enforcement director Azman Adam. ""We still advise people to get required items and leave the premises fast, and stay at home more,"" he was quoted by The Star."
2021-06-06,mamika_co,"Thansk for choosing us. Brg yg di post dah sampai tepat pd waktu nya. Self pickup sbb urgent. Due to lockdown, delivery through grab, lalamove only. Postage and self pickup available. Stay safe at home. https://t.co/mH4n6GuA74"
2021-06-06,ShopeeMY,"The best of the best sale on your essentials to stay home, and stay safe is happening right now - up to 66% off deals and 66% coins cashback! Donâ€™t just add to cart now, be sure to check out: https://t.co/q2oaxyTyTG #ShopeeMY66 #ShopeeMY https://t.co/GpVhajs8vr"
2021-06-06,TARISTAR8,"@malaymail Good news. Everyone stay home &amp; stay safe. Collectively, we can beat it."
2021-06-06,luqmanhriz,@xxxmacxxx_ Terima kasih setia menonton @501Awani. Stay at home.
2021-06-06,xxxmacxxx_,"Bang, saya selalu tengok muka abang kat tv ""stay at home"" https://t.co/V0V1XfRGmo"
2021-06-06,KLTeam11,Stay Homeä¸­ã€æ™‚é–“ã«ä½™è£•ãŒã‚ã‚‹ã®ã§ã‚·ãƒ§ãƒ¼ãƒˆã‚±ãƒ¼ã‚­ä½œã£ãŸã€‚ ã‚¯ãƒªãƒ¼ãƒ ã®ãƒ‡ã‚³ãŒé›£ã—ã„ã€‚è‹ºã§ã”ã¾ã‹ã—ã¦ã„ã¾ã™ðŸ¤£ ã“ã‚Œã‹ã‚‰ãƒ†ã‚£ãƒ¼ã‚¿ã‚¤ãƒ ã‚’æ¥½ã—ã¿ã¾ã™ï¼ #StayHome https://t.co/1jnxe5vbeY
2021-06-06,ATM_BoonTeik,"Stay home, Stay safe.. #ShopFromHome #ConsumerBaseIncome #AtomyMalaysia https://t.co/ruE1inkWRQ"
2021-06-06,yellowbeann_,Please stay at home... https://t.co/DjrjYS7Nnr
2021-06-06,Merlionsgnz,@ChannelNewsAsia Stay at home everyone...just a few more days.
2021-06-06,fahmirshd,Just stay at home then... https://t.co/FGlRzEtxzw
2021-06-06,alanmanov,"Walau bagaimanapun nilai R0 menunjukkan trend menurun ke nilai 1.0, ini bermakna setiap pesakit kadar kebolehjangkitan hanya satu orang. Mari sama-sama kita kekalkan trend penurunan ini dengan stay at home untuk minggu depan. Insyaa Allah, kita akan nampak kes akan menurun."
2021-06-06,alanmanov,Stay at Home. Kes baru masih mendatar pada angka 7000++ sehingga hari ini. Mari kita terus berusaha dan berdoa agar kes covid-19 akan menunjukkan penurunan di minggu hadapan.
2021-06-06,Langkawi_Drum,"Visiting #Langkawi, Malaysia this week? Here are my top picks of local stay home/stay safe 'happenings' for June 7 thru 13! https://t.co/PBCfhrhM9R #StayHome https://t.co/g1yHOIutT8"
2021-06-06,zeeqdean,"guys, please stay at home kalau takde apa yg penting kat luar tu. sayang your family guys https://t.co/9TwkzAsDAP"
2021-06-06,NouraAisyah,"Kucing aku balik sebulan sekali buat rumah mcm hotel. Dah settle mkn rehat semua dia pergi dating balik dengan kucing betina. Kdg kdg kucing Jiran sebelah rumah kdg kdg depan rumah, hello tuan kau ni pun sendu je ada stay at home. https://t.co/VNnXYWNObi"
2021-06-06,APOM_MY,Mana Maunya jalan-jalan weh! Stay at home at watch Kampong Pisang Muzikal! Check out Kampong Pisang Merchandise at https://t.co/QSaAQsW1qj Click at the link for online purchase: https://t.co/E6iCg8BNfq https://t.co/GbtB5QTS5O
2021-06-06,meeraclesabahhq,"STAY SAFE &amp; STAY AT HOME! Bosan tak tahu nak buat apa bila lockdown ni? Haa, korang boleh la cari hobi baru! And kalau nak restock skincare MEERACLE, boleh je beli dekat Shopee okay! Apa-apa pun pastikan kita semua sihat &amp; selamat di rumah! https://t.co/aiuF6bOJRK https://t.co/TXRvaOwKXQ"
2021-06-06,PopularMalaysia,Embark on a magical journey with #LeighBardguo! Stay home &amp; check out POPCLUB e-Mag now at https://t.co/uuO9X9P2oK to view the full version &amp; enjoy amazing promotions at #POPULAR Online! #ShadowAndBone https://t.co/ShIIwrGKIr
2021-06-06,phatcathaus,"Hello guys... Semalam Lenny dah buka jahitan. Tak yah stay in cage but kena stay at home. Alhamdulillah berat badan pun naik banyak. Tak lama lagi lawa macam Ellen. Berjuta terima kasih kepada ""Puan A"" aka Kak Nai yang tanggung sepenuhnya rawatan Lenny yang hampir rm5000. https://t.co/9bmmInxLS3"
2021-06-06,bavani_21,"Find joy in everything you choose to do. Every job, relationship, home..it's ur responsibility to love it, or change it. Dream big, work hard, stay focused, &amp; surround yourself with positive people..Definitely you will have a better &amp; happier life..All about hw u carry ur self."
2021-06-06,tedboybakery,"Stay Home, We Deliver. Check out our ongoing promotions to save some money while shopping online.  Amazing deals are waiting for you! Grab it fast before items sold out. SHOP NOW: https://t.co/aqf0pQjnIx https://t.co/xTW2bnZgIR https://t.co/AfddHUzfxF"
2021-06-06,Azmi_Malik1,"To play, simply switch on your tv, browse any channels and watch if youâ€™ve found something interesting to watch, that way, you donâ€™tneed to leave home and everyone will be safe #kitajagakita"
2021-06-06,Azmi_Malik1,The idea of this game is to simply to stay home and stay entertained to keep everyone safe #kitajagakita
2021-06-06,scientexpulai,Here is the prevention that we can do to protect ourselves and others around us. Scientex Taman Pulai Mutiara would like to remind everyone Stay At Home and remember to wear your mask whenever you step outsides!ðŸ˜· Stay Safe and Healthy. https://t.co/6rTNdzX1XA
2021-06-06,snowy_yui,Green.Stay at Home. Summer Break. #throwback #royalehigh https://t.co/IjSOvOZC7N
2021-06-06,sarafandi88,"Stay virgin or not, this is our choice. Being sexually active or just stay at home is our choice. We dont need men to decide for our vaginas future! No one! Hahahha To women, why must be ashamed of our sexuality choices,own it!! https://t.co/628cmBSgR6"
2021-06-06,drwanazizah,Stay home ! https://t.co/ZVPyRk7Drv https://t.co/66gDPJxqj1
