Datetime,username,tweets,emotions
2/6/2021,flowerhubkl,servis utk  decorate gift with fresh flowers  send lots of extra love and care to your love ones  surprise them with pretty flowers and balloons  stay home we deliver    click link untuk order   stayhome klflorist floristkl klflowerdelivery  klgifts ,love
1/6/2021,ST_LifeTweets,stayhome guide for  wednesday  catch some zombie action read a love letter to libraries and more ,love
1/6/2021,firayj,sing  along  sung si kyung  the road to me  because me stay at home n me  just try to sing this song  sorry for the less  i love to singing specially korean song  this afternoon just challenge myself to sing korean song  stay safe stay healthy ,love
1/6/2021,_nrlhdyhmrh,stay at home kami hantar kan je  dah plan lunch ape ke hari ni   jom kita bakarbakar kambing  mamasab ade je nidah ready bakar je  grill pun sedapmasuk air fryer je lah senang    taman  seri  indah ,love
1/6/2021,NaniesSolution,alamak  lockdown   nanies juga tidak terkecuali hehe kedai  nanies tidak beroperasi sepanjang  lockdown   tapi jangan risau  anda semua boleh buat pembelian melalui online  hanya whatsapp team  nanies untuk kami bantu   jaga diri ya semua  stay safe stay at home   much  love ,love
31/5/2021,Soon14939416,glad you are home my sweet sister i pray for you take care and stay safe  god  bless you  lots love ,love
31/5/2021,najibahlee,my bil really wanna stay at my home for a few day  butttttt  i reject their plan  heavily  pleaseeeee  bukan tak sayang  tak nak apa kes jadi  tak nakkk,love
31/5/2021,real_devi92,love u sister stay home ,love
31/5/2021,afqhsilmi,alhamdulillah my brother dah potong gelang pink dia  hopefully everyone stay safe stay at home okay  dont go rayau rayau  love diri mung nga ore lain,love
31/5/2021,GSCinemas,nothing beats the cinematic experience  but for now please stay home stay safe and get vaccinated  as soon as we are ready  gsc will return and welcome you back to the big screen    see you guys soon and stay strong  gsc love you     love  gsc admin ,love
31/5/2021,ViuSG,weve got you covered for your stayhome days  check out our exciting lineup for  june  which ones are on your towatch list   june hot releases ,love
24/11/2020,AidenJo32490090,sanitasi  bangunan tetap diteruskan covid kita jaga kita ,love
2020-04-27 15:27:51+00:00,saufisufian,covid  cant  stop  you  loving  your  love  onesquarantine quarantena kuarantin quarantaine quarantne karantina cuarentena stayathome  stay home flattenthecurve breakthechain   malaysia ,love
2020-04-23 10:30:34+00:00,EdahRusdi,alhamdulillah adik aku dah discaj setelah  hari bertarung dengan  covid  terima  kasih semua  frontliners  hapus covid kita mesti menang  kluster bunian ,love
2020-04-06 18:25:28+00:00,Deepzter,lets do our part by staying home covid malaysia hennadesignhennaartists talened togetherwefightthissocialdistancing repost malaysianaturalhennaartist      stay home for the people you love ,love
2020-03-27 17:05:43+00:00,TEDxKangar,we like this topic  it talks about dolphins aliens environment  perhaps theres the idea about animal empathy that will let you think about meet eating  and more te dx kangar  new normal covid love ,love
2021-04-20 17:01:03+00:00,dyangateh,mak aku smpe nangis pdh rindu kat aku bila nak balit kpg  aku siktauk bila ku dpt balit  maafkan anak mu mak blom dpt balit gk kitajagakita dlok  ada rzki kita temu k  inshaa allah ,love
2020-03-31 08:31:53+00:00,MeRep2p1,  rindu  nak  bebas  macam  duludulu kitajagakitavscocam vsco vscophile vscomalaysia vscoday igfeedsmenarik best of day instadaily love it beautiful syed amir art flower ,love
2020-02-16 08:27:51+00:00,___Syahrul,corona kau jangan buat hal la ,love
